state_code,county_code,site_number,pollutant_standard,date_local,co_ppm,aqi,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change,geometry,sample_date,year
08,031,0002,CO 1-hour 1971,2017-01-12,0.679167,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-12,2017
08,031,0002,CO 8-hour 1971,2017-01-12,0.679167,15,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-12,2017
08,031,0002,CO 1-hour 1971,2017-01-13,0.6,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-13,2017
08,031,0002,CO 8-hour 1971,2017-01-13,0.533333,9,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-13,2017
08,031,0002,CO 1-hour 1971,2017-01-14,0.729167,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-14,2017
08,031,0002,CO 8-hour 1971,2017-01-14,0.729167,10,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-14,2017
08,031,0002,CO 1-hour 1971,2017-01-15,0.6875,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-15,2017
08,031,0002,CO 8-hour 1971,2017-01-15,0.795833,14,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-15,2017
08,031,0002,CO 1-hour 1971,2017-01-16,0.3625,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-16,2017
08,031,0002,CO 8-hour 1971,2017-01-16,0.358333,6,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-16,2017
08,031,0002,CO 1-hour 1971,2017-01-17,0.775,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-17,2017
08,031,0002,CO 8-hour 1971,2017-01-17,0.741667,14,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-17,2017
08,031,0002,CO 1-hour 1971,2017-01-18,0.770833,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-18,2017
08,031,0002,CO 8-hour 1971,2017-01-18,0.758333,15,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-18,2017
08,031,0002,CO 1-hour 1971,2017-01-19,0.633333,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-19,2017
08,031,0002,CO 8-hour 1971,2017-01-19,0.620833,13,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-19,2017
08,031,0002,CO 1-hour 1971,2017-01-20,0.429167,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-20,2017
08,031,0002,CO 8-hour 1971,2017-01-20,0.520833,11,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-20,2017
08,031,0002,CO 1-hour 1971,2017-01-21,0.516667,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-21,2017
08,031,0002,CO 8-hour 1971,2017-01-21,0.516667,8,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-21,2017
08,031,0002,CO 1-hour 1971,2017-01-22,0.316667,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-22,2017
08,031,0002,CO 8-hour 1971,2017-01-22,0.320833,6,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-22,2017
08,031,0002,CO 1-hour 1971,2017-01-23,0.483333,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-23,2017
08,031,0002,CO 8-hour 1971,2017-01-23,0.508333,8,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-23,2017
08,031,0002,CO 1-hour 1971,2017-01-24,0.316667,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-24,2017
08,031,0002,CO 8-hour 1971,2017-01-24,0.341667,5,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-24,2017
08,031,0002,CO 1-hour 1971,2017-01-25,0.379167,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-25,2017
08,031,0002,CO 8-hour 1971,2017-01-25,0.366667,6,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-25,2017
08,031,0002,CO 1-hour 1971,2017-01-26,0.345833,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-26,2017
08,031,0002,CO 8-hour 1971,2017-01-26,0.3625,5,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-26,2017
08,031,0002,CO 1-hour 1971,2017-01-27,0.416667,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-27,2017
08,031,0002,CO 8-hour 1971,2017-01-27,0.3875,6,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-27,2017
08,031,0002,CO 1-hour 1971,2017-01-28,0.4,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-28,2017
08,031,0002,CO 8-hour 1971,2017-01-28,0.391667,6,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-28,2017
08,031,0002,CO 1-hour 1971,2017-01-29,0.383333,NA,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2021-11-06,"c(-104.987625, 39.751184)",2017-01-29,2017
08,031,0002,CO 8-hour 1971,2017-01-29,0.395833,6,DENVER - CAMP,2105 BROADWAY,Colorado,Denver,Denver,19740,"Denver-Aurora-Lakewood, CO",2023-02-05,"c(-104.987625, 39.751184)",2017-01-29,2017
