site_number,year,site_address,local_site_name,count,min_av,max_av,average_av,med_av,min_mx,max_mx,average_mx,med_mx
0013,2017,26137 Conifer Road,Aspen Park,1463,0.005706,0.061412,0.0405416992481203,0.041375,0.014,0.098,0.048869446343130556,0.049
0013,2018,26137 Conifer Road,Aspen Park,1438,0.004,0.065412,0.04037472878998609,0.040828500000000004,0.004,0.092,0.0483191933240612,0.048
0013,2019,26137 Conifer Road,Aspen Park,1024,0.012706,0.05575,0.0414075263671875,0.042581,0.016,0.086,0.0493974609375,0.049
0014,2020,5124 South Hatch Drive,Evergreen,339,0.010529,0.062917,0.030770380530973453,0.030706,0.014,0.079,0.03782300884955752,0.037
0014,2021,5124 South Hatch Drive,Evergreen,1358,0.005,0.072471,0.03879071944035346,0.039053,0.005,0.101,0.05004786450662739,0.049
0026,2017,4545 Navajo St.,La Casa,1470,0.001,0.055647,0.027377651020408164,0.029657,0.001,0.088,0.042562585034013604,0.045
0026,2018,4545 Navajo St.,La Casa,1419,0,0.058143,0.028297986610288935,0.0285,0,0.089,0.04355109231853418,0.044
0026,2019,4545 Navajo St.,La Casa,1394,0,0.056647,0.027265695839311335,0.029271,0,0.092,0.04204088952654232,0.044
0026,2020,4545 Navajo St.,La Casa,1336,9.57e-4,0.063647,0.028462650449101796,0.0294665,0.004,0.102,0.04384131736526946,0.044
0026,2021,4545 Navajo St.,La Casa,1426,2.94e-4,0.0832,0.031225528050490885,0.031342999999999996,0.001,0.098,0.04791234221598878,0.047
3001,2017,3174 E. 78TH AVE.,Welby,1422,0,0.053824,0.02667751898734177,0.028,0,0.085,0.043160337552742616,0.044
3001,2018,3174 E. 78TH AVE.,Welby,1416,0,0.055353,0.02673636581920904,0.027083,0,0.081,0.042584745762711866,0.042
3001,2019,3174 E. 78TH AVE.,Welby,1412,0,0.048294,0.02521544759206799,0.027068000000000002,0,0.077,0.04039022662889519,0.042
3001,2020,3174 E. 78TH AVE.,Welby,1458,0.001,0.059471,0.02853121330589849,0.029833,0.003,0.1,0.04513374485596708,0.045
3001,2021,3174 E. 78TH AVE.,Welby,1343,0,0.063583,0.030203037974683544,0.031,0,0.094,0.046845867460908415,0.046
