site_number,site_address,local_site_name,count,min,max,average,med
0002,2105 BROADWAY,DENVER - CAMP,8948,-0.716667,6.645833,0.6350774991059455,0.55
0026,4545 Navajo St.,La Casa,8930,-0.247826,8.244444,0.5985843619260919,0.457143
3001,3174 E. 78TH AVE.,Welby,8809,-0.316667,3.7,0.812606268134862,0.725
