total_pop,under18_pop,adult18_pop,plus20_pop,female_15_44_pop,total_se,under18_se,adult18_se,plus20_se,female_15_44_se,total_pop_lower,total_pop_upper,under18_pop_lower,under18_pop_upper,adult18_pop_lower,adult18_pop_upper,plus20_pop_lower,plus20_pop_upper,female_15_44_pop_lower,female_15_44_pop_upper,GES,at_risk_fem,at_risk_fem_lower,at_risk_fem_upper
6712,2218,4440,4349,1491,22.745637609568032,22.519083820050405,35.14550643054653,7.445257576848566,19.500322106195064,6667.418550285247,6756.581449714753,2173.862595712701,2262.137404287299,4371.1148073961285,4508.8851926038715,4334.407295149377,4363.592704850623,1452.7793686718576,1529.2206313281424,elsw,536.76,523.0005727218687,550.5194272781313
4005,708.5,3258.5,3107,949,17.89961320891849,14.411270019610575,30.7757326658897,9.573261852901897,15.817157241650685,3969.91675811052,4040.08324188948,680.2539107615632,736.7460892384368,3198.179563974856,3318.820436025144,3088.2364067683125,3125.7635932316875,917.9983718063646,980.0016281936354,glbvle,341.64,330.4794138502912,352.80058614970875
