site_number,site_address,local_site_name,count,min,max,average,med
0002,2105 BROADWAY,DENVER - CAMP,603,5,149,30.059701492537314,27
0008,4201 E. 72nd. Avenue,Tri County Health Dept. Bldg.,1367,0,158,35.55596196049744,32
0010,7275 Birch St,Birch Street,233,5,104,36.60944206008584,34
0026,4545 Navajo St.,La Casa,859,1,102,22.80325960419092,20
3001,3174 E. 78TH AVE.,Welby,3487,1,111.571429,32.4185320656725,28.666667
