site_number,site_address,local_site_name,count,min,max,average,med
0002,2105 BROADWAY,DENVER - CAMP,3625,0.141667,1.998958,0.3500266747586207,0.3125
0026,4545 Navajo St.,La Casa,3609,0.1,2.019,0.30200595067885844,0.258333
0027,971 Yuma Street,I-25,3602,0.172625,2.213708,0.47760848722931704,0.42629150000000005
3001,3174 E. 78TH AVE.,Welby,3553,0.1,1.301667,0.2910281643681396,0.245833
